1096052391	20230416	202304	2023	2023.2904											GOV	PRINCE						GOV			1	020	020	02	1	3.0	3	1	3	3.58306188925081	0								4	Buckingham Palace, Westminster, United Kingdom	UK	UKP5	40110	51.5	-0.133333	-2591190	4	Buckingham Palace, Westminster, United Kingdom	UK	UKP5	40110	51.5	-0.133333	-2591190	20230416031500	https://www.thenews.com.pk/latest/1061340-archbishop-of-canterbury-failed-to-woo-prince-william-and-harry
1096052392	20230416	202304	2023	2023.2904											GOV	FIRE CHIEF						GOV			0	023	023	02	1	3.4	3	1	3	-4.4776119402985	0								4	Brighton, Brighton and Hove, United Kingdom	UK	UKB6	40137	50.8333	-0.15	-2590884	4	Brighton, Brighton and Hove, United Kingdom	UK	UKB6	40137	50.8333	-0.15	-2590884	20230416031500	https://www.bbc.co.uk/news/uk-65290166
1096052393	20230416	202304	2023	2023.2904											GOV	PRINCE						GOV			1	045	045	04	1	5.0	3	1	3	3.58306188925081	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20230416031500	https://www.thenews.com.pk/latest/1061340-archbishop-of-canterbury-failed-to-woo-prince-william-and-harry
1096052394	20230416	202304	2023	2023.2904											GOV	GOVERNMENT						GOV			0	051	051	05	1	3.4	5	1	5	-0.991131977047471	0								4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	20230416031500	https://www.capitalethiopia.com/2021/01/04/humanitarian-aid/
1096052395	20230416	202304	2023	2023.2904											GOV	GOVERNMENT						GOV			1	080	080	08	2	5.0	5	1	5	-7.30994152046784	0								4	Kaouara, Region des Savanes, Cote D'ivoire	IV	IV87	14928	10.0908	-5.19482	-2122820	4	Kaouara, Region des Savanes, Cote D'ivoire	IV	IV87	14928	10.0908	-5.19482	-2122820	20230416031500	https://reliefweb.int/report/cote-divoire/acaps-briefing-note-cote-divoire-displacement-burkina-faso-15-march-2023
1096052396	20230416	202304	2023	2023.2904											GUY	GUYANA	GUY								0	040	040	04	1	1.0	10	1	10	0.67039106145251	0								4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	20230416031500	https://www.inewsguyana.com/vp-exposes-apas-motive-of-preventing-development-of-amerindian-villages/
1096052397	20230416	202304	2023	2023.2904											GUY	GUYANA	GUY								0	051	051	05	1	3.4	10	1	10	0.67039106145251	0								4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	20230416031500	https://www.inewsguyana.com/vp-exposes-apas-motive-of-preventing-development-of-amerindian-villages/
1096052398	20230416	202304	2023	2023.2904											JPN	TOKYO	JPN								1	042	042	04	1	1.9	1	1	1	-5.33515731874145	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230416031500	https://lavozcolorado.com/2022/05/25/a-week-in-review-may-25-2022/
1096052399	20230416	202304	2023	2023.2904											LEG	PARLIAMENT						LEG			0	043	043	04	1	2.8	5	1	5	1.63934426229508	0								5	Akwa Ibom State, Akwa Ibom, Nigeria	NI	NI21	191377	5	7.83333	-1998981	5	Akwa Ibom State, Akwa Ibom, Nigeria	NI	NI21	191377	5	7.83333	-1998981	20230416031500	https://www.thisdaylive.com/index.php/2023/04/16/south-south-and-clamour-for-senate-presidency/
1096052400	20230416	202304	2023	2023.2904											MIL	ARMED FORCES						MIL			0	193	193	19	4	-10.0	1	1	1	-4.88135593220339	0								4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	20230416031500	https://thefrontierpost.com/sudan-army-and-rsf-battle-continues-3-un-staff-dead/
1096052401	20230416	202304	2023	2023.2904											MIL	ARMED FORCES						MIL			0	193	193	19	4	-10.0	2	1	2	-4.88135593220339	0								4	Kabkabiya, Ar Riya?, Saudi Arabia	SA	SA10	25316	20.4287	45.3691	-3096253	4	Kabkabiya, Ar Riya?, Saudi Arabia	SA	SA10	25316	20.4287	45.3691	-3096253	20230416031500	https://thefrontierpost.com/sudan-army-and-rsf-battle-continues-3-un-staff-dead/
1096052402	20230416	202304	2023	2023.2904											REL	ABBOT									1	010	010	01	1	0.0	3	1	3	-1.43884892086331	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20230416031500	https://www.enidnews.com/news/from-comatose-to-eating-on-his-own-otters-road-to-recovery-cut-short/article_bdb9631e-07da-577b-9201-bdc02b680952.html
1096052403	20230416	202304	2023	2023.2904											REL	ABBOT									1	031	031	03	1	5.2	3	1	3	-1.43884892086331	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20230416031500	https://www.enidnews.com/news/from-comatose-to-eating-on-his-own-otters-road-to-recovery-cut-short/article_bdb9631e-07da-577b-9201-bdc02b680952.html
1096052404	20230416	202304	2023	2023.2904											RUS	RUSSIA	RUS								0	021	021	02	1	3.4	5	1	5	-6.03588907014682	0								1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20230416031500	https://thefrontierpost.com/china-urges-the-us-to-correct-its-wrongdoings-with-russia-related-sanctions-against-chinese-firms/
1096052405	20230416	202304	2023	2023.2904											RUS	RUSSIA	RUS								1	046	046	04	1	7.0	1	1	1	-7.17488789237668	0								4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20230416031500	https://www.spokesman.com/stories/2023/apr/15/wsj-reporter-writes-letter-in-russian-prison-i-am-/
